Countrycode,Namespace,AirQualityNetwork,AirQualityStation,AirQualityStationEoICode,SamplingPoint,SamplingProcess,Sample,AirPollutant,AirPollutantCode,AveragingTime,Concentration,UnitOfMeasurement,DatetimeBegin,DatetimeEnd,Validity,Verification
NL,NL.RIVM.AQ,NET-NL010A,STA-NL00418,NL00418,SPO-NL00418_00008_111,SPP-NL_A_chemi_API200E,SPO_F-NL00418_00008_111_112,NO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8,hour,20.8800000000,µg/m3,2023-01-01 00:00:00 +01:00,2023-01-01 01:00:00 +01:00,1,3
NL,NL.RIVM.AQ,NET-NL010A,STA-NL00418,NL00418,SPO-NL00418_00008_111,SPP-NL_A_chemi_API200E,SPO_F-NL00418_00008_111_112,NO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8,hour,14.0100000000,µg/m3,2023-01-01 01:00:00 +01:00,2023-01-01 02:00:00 +01:00,1,3
NL,NL.RIVM.AQ,NET-NL010A,STA-NL00418,NL00418,SPO-NL00418_00008_111,SPP-NL_A_chemi_API200E,SPO_F-NL00418_00008_111_112,NO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8,hour,11.4100000000,µg/m3,2023-01-01 02:00:00 +01:00,2023-01-01 03:00:00 +01:00,1,3
NL,NL.RIVM.AQ,NET-NL010A,STA-NL00418,NL00418,SPO-NL00418_00008_111,SPP-NL_A_chemi_API200E,SPO_F-NL00418_00008_111_112,NO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8,hour,12.6000000000,µg/m3,2023-01-01 03:00:00 +01:00,2023-01-01 04:00:00 +01:00,1,3
NL,NL.RIVM.AQ,NET-NL010A,STA-NL00418,NL00418,SPO-NL00418_00008_111,SPP-NL_A_chemi_API200E,SPO_F-NL00418_00008_111_112,NO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8,hour,9.3300000000,µg/m3,2023-01-01 04:00:00 +01:00,2023-01-01 05:00:00 +01:00,1,3
NL,NL.RIVM.AQ,NET-NL010A,STA-NL00418,NL00418,SPO-NL00418_00008_111,SPP-NL_A_chemi_API200E,SPO_F-NL00418_00008_111_112,NO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8,hour,11.5400000000,µg/m3,2023-01-01 05:00:00 +01:00,2023-01-01 06:00:00 +01:00,1,3
NL,NL.RIVM.AQ,NET-NL010A,STA-NL00418,NL00418,SPO-NL00418_00008_111,SPP-NL_A_chemi_API200E,SPO_F-NL00418_00008_111_112,NO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8,hour,10.8000000000,µg/m3,2023-01-01 06:00:00 +01:00,2023-01-01 07:00:00 +01:00,1,3
NL,NL.RIVM.AQ,NET-NL010A,STA-NL00418,NL00418,SPO-NL00418_00008_111,SPP-NL_A_chemi_API200E,SPO_F-NL00418_00008_111_112,NO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8,hour,15.4500000000,µg/m3,2023-01-01 07:00:00 +01:00,2023-01-01 08:00:00 +01:00,1,3
NL,NL.RIVM.AQ,NET-NL010A,STA-NL00418,NL00418,SPO-NL00418_00008_111,SPP-NL_A_chemi_API200E,SPO_F-NL00418_00008_111_112,NO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8,hour,18.3100000000,µg/m3,2023-01-01 08:00:00 +01:00,2023-01-01 09:00:00 +01:00,1,3
NL,NL.RIVM.AQ,NET-NL010A,STA-NL00418,NL00418,SPO-NL00418_00008_111,SPP-NL_A_chemi_API200E,SPO_F-NL00418_00008_111_112,NO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8,hour,20.7000000000,µg/m3,2023-01-01 09:00:00 +01:00,2023-01-01 10:00:00 +01:00,1,3
